,Date,Close,Open,High,Low,PE,Ratio
0,1960-01-04,59.91,59.91,59.91,59.91,18.34,17.12
1,1960-01-05,60.389999,60.389999,60.389999,60.389999,18.34,17.12
2,1960-01-06,60.130001,60.130001,60.130001,60.130001,18.34,17.12
3,1960-01-07,59.689999,59.689999,59.689999,59.689999,18.34,17.12
4,1960-01-08,59.5,59.5,59.5,59.5,18.34,17.12
5,1960-01-11,58.77,58.77,58.77,58.77,18.34,17.12
6,1960-01-12,58.41,58.41,58.41,58.41,18.34,17.12
7,1960-01-13,58.080002,58.080002,58.080002,58.080002,18.34,17.12
8,1960-01-14,58.400002,58.400002,58.400002,58.400002,18.34,17.12
9,1960-01-15,58.380001,58.380001,58.380001,58.380001,18.34,17.12
10,1960-01-18,57.889999,57.889999,57.889999,57.889999,18.34,17.12
11,1960-01-19,57.27,57.27,57.27,57.27,18.34,17.12
12,1960-01-20,57.07,57.07,57.07,57.07,18.34,17.12
13,1960-01-21,57.209999,57.209999,57.209999,57.209999,18.34,17.12
14,1960-01-22,57.380001,57.380001,57.380001,57.380001,18.34,17.12
15,1960-01-25,56.779999,56.779999,56.779999,56.779999,18.34,17.12
16,1960-01-26,56.860001,56.860001,56.860001,56.860001,18.34,17.12
17,1960-01-27,56.720001,56.720001,56.720001,56.720001,18.34,17.12
18,1960-01-28,56.130001,56.130001,56.130001,56.130001,18.34,17.12
19,1960-01-29,55.610001,55.610001,55.610001,55.610001,18.34,17.12
20,1960-02-01,55.959999,55.959999,55.959999,55.959999,17.55,16.45
21,1960-02-02,56.82,56.82,56.82,56.82,17.55,16.45
22,1960-02-03,56.32,56.32,56.32,56.32,17.55,16.45
23,1960-02-04,56.27,56.27,56.27,56.27,17.55,16.45
24,1960-02-05,55.98,55.98,55.98,55.98,17.55,16.45
25,1960-02-08,55.32,55.32,55.32,55.32,17.55,16.45
26,1960-02-09,55.84,55.84,55.84,55.84,17.55,16.45
27,1960-02-10,55.490002,55.490002,55.490002,55.490002,17.55,16.45
28,1960-02-11,55.18,55.18,55.18,55.18,17.55,16.45
29,1960-02-12,55.459999,55.459999,55.459999,55.459999,17.55,16.45
30,1960-02-15,55.169998,55.169998,55.169998,55.169998,17.55,16.45
31,1960-02-16,54.73,54.73,54.73,54.73,17.55,16.45
32,1960-02-17,55.029999,55.029999,55.029999,55.029999,17.55,16.45
33,1960-02-18,55.799999,55.799999,55.799999,55.799999,17.55,16.45
34,1960-02-19,56.240002,56.240002,56.240002,56.240002,17.55,16.45
35,1960-02-23,55.939999,55.939999,55.939999,55.939999,17.55,16.45
36,1960-02-24,55.740002,55.740002,55.740002,55.740002,17.55,16.45
37,1960-02-25,55.93,55.93,55.93,55.93,17.55,16.45
38,1960-02-26,56.16,56.16,56.16,56.16,17.55,16.45
39,1960-02-29,56.119999,56.119999,56.119999,56.119999,17.55,16.45
40,1960-03-01,56.009998,56.009998,56.009998,56.009998,17.29,16.23
41,1960-03-02,55.619999,55.619999,55.619999,55.619999,17.29,16.23
42,1960-03-03,54.779999,54.779999,54.779999,54.779999,17.29,16.23
43,1960-03-04,54.57,54.57,54.57,54.57,17.29,16.23
44,1960-03-07,54.02,54.02,54.02,54.02,17.29,16.23
45,1960-03-08,53.470001,53.470001,53.470001,53.470001,17.29,16.23
46,1960-03-09,54.040001,54.040001,54.040001,54.040001,17.29,16.23
47,1960-03-10,53.830002,53.830002,53.830002,53.830002,17.29,16.23
48,1960-03-11,54.240002,54.240002,54.240002,54.240002,17.29,16.23
49,1960-03-14,54.32,54.32,54.32,54.32,17.29,16.23
50,1960-03-15,54.740002,54.740002,54.740002,54.740002,17.29,16.23
51,1960-03-16,55.040001,55.040001,55.040001,55.040001,17.29,16.23
52,1960-03-17,54.959999,54.959999,54.959999,54.959999,17.29,16.23
53,1960-03-18,55.009998,55.009998,55.009998,55.009998,17.29,16.23
54,1960-03-21,55.07,55.07,55.07,55.07,17.29,16.23
55,1960-03-22,55.290001,55.290001,55.290001,55.290001,17.29,16.23
56,1960-03-23,55.740002,55.740002,55.740002,55.740002,17.29,16.23
57,1960-03-24,55.98,55.98,55.98,55.98,17.29,16.23
58,1960-03-25,55.98,55.98,55.98,55.98,17.29,16.23
59,1960-03-28,55.860001,55.860001,55.860001,55.860001,17.29,16.23
60,1960-03-29,55.779999,55.779999,55.779999,55.779999,17.29,16.23
61,1960-03-30,55.66,55.66,55.66,55.66,17.29,16.23
62,1960-03-31,55.34,55.34,55.34,55.34,17.29,16.23
63,1960-04-01,55.43,55.43,55.43,55.43,17.43,16.65
64,1960-04-04,55.540001,55.540001,55.540001,55.540001,17.43,16.65
65,1960-04-05,55.369999,55.369999,55.369999,55.369999,17.43,16.65
66,1960-04-06,56.509998,56.509998,56.509998,56.509998,17.43,16.65
67,1960-04-07,56.52,56.52,56.52,56.52,17.43,16.65
68,1960-04-08,56.389999,56.389999,56.389999,56.389999,17.43,16.65
69,1960-04-11,56.169998,56.169998,56.169998,56.169998,17.43,16.65
70,1960-04-12,56.299999,56.299999,56.299999,56.299999,17.43,16.65
71,1960-04-13,56.299999,56.299999,56.299999,56.299999,17.43,16.65
72,1960-04-14,56.43,56.43,56.43,56.43,17.43,16.65
73,1960-04-18,56.59,56.59,56.59,56.59,17.43,16.65
74,1960-04-19,56.130001,56.130001,56.130001,56.130001,17.43,16.65
75,1960-04-20,55.439999,55.439999,55.439999,55.439999,17.43,16.65
76,1960-04-21,55.59,55.59,55.59,55.59,17.43,16.65
77,1960-04-22,55.419998,55.419998,55.419998,55.419998,17.43,16.65
78,1960-04-25,54.860001,54.860001,54.860001,54.860001,17.43,16.65
79,1960-04-26,55.040001,55.040001,55.040001,55.040001,17.43,16.65
80,1960-04-27,55.040001,55.040001,55.040001,55.040001,17.43,16.65
81,1960-04-28,54.560001,54.560001,54.560001,54.560001,17.43,16.65
82,1960-04-29,54.369999,54.369999,54.369999,54.369999,17.43,16.65
83,1960-05-02,54.130001,54.130001,54.130001,54.130001,17.26,16.72
84,1960-05-03,54.830002,54.830002,54.830002,54.830002,17.26,16.72
85,1960-05-04,55.040001,55.040001,55.040001,55.040001,17.26,16.72
86,1960-05-05,54.860001,54.860001,54.860001,54.860001,17.26,16.72
87,1960-05-06,54.75,54.75,54.75,54.75,17.26,16.72
88,1960-05-09,54.799999,54.799999,54.799999,54.799999,17.26,16.72
89,1960-05-10,54.419998,54.419998,54.419998,54.419998,17.26,16.72
90,1960-05-11,54.57,54.57,54.57,54.57,17.26,16.72
91,1960-05-12,54.849998,54.849998,54.849998,54.849998,17.26,16.72
92,1960-05-13,55.299999,55.299999,55.299999,55.299999,17.26,16.72
93,1960-05-16,55.25,55.25,55.25,55.25,17.26,16.72
94,1960-05-17,55.459999,55.459999,55.459999,55.459999,17.26,16.72
95,1960-05-18,55.439999,55.439999,55.439999,55.439999,17.26,16.72
96,1960-05-19,55.68,55.68,55.68,55.68,17.26,16.72
97,1960-05-20,55.73,55.73,55.73,55.73,17.26,16.72
98,1960-05-23,55.759998,55.759998,55.759998,55.759998,17.26,16.72
99,1960-05-24,55.700001,55.700001,55.700001,55.700001,17.26,16.72
100,1960-05-25,55.669998,55.669998,55.669998,55.669998,17.26,16.72
101,1960-05-26,55.709999,55.709999,55.709999,55.709999,17.26,16.72
102,1960-05-27,55.740002,55.740002,55.740002,55.740002,17.26,16.72
103,1960-05-31,55.830002,55.830002,55.830002,55.830002,17.26,16.72
104,1960-06-01,55.889999,55.889999,55.889999,55.889999,17.82,17.56
105,1960-06-02,56.130001,56.130001,56.130001,56.130001,17.82,17.56
106,1960-06-03,56.23,56.23,56.23,56.23,17.82,17.56
107,1960-06-06,56.889999,56.889999,56.889999,56.889999,17.82,17.56
108,1960-06-07,57.43,57.43,57.43,57.43,17.82,17.56
109,1960-06-08,57.889999,57.889999,57.889999,57.889999,17.82,17.56
110,1960-06-09,58.0,58.0,58.0,58.0,17.82,17.56
111,1960-06-10,57.970001,57.970001,57.970001,57.970001,17.82,17.56
112,1960-06-13,57.990002,57.990002,57.990002,57.990002,17.82,17.56
113,1960-06-14,57.91,57.91,57.91,57.91,17.82,17.56
114,1960-06-15,57.57,57.57,57.57,57.57,17.82,17.56
115,1960-06-16,57.5,57.5,57.5,57.5,17.82,17.56
116,1960-06-17,57.439999,57.439999,57.439999,57.439999,17.82,17.56
117,1960-06-20,57.16,57.16,57.16,57.16,17.82,17.56
118,1960-06-21,57.110001,57.110001,57.110001,57.110001,17.82,17.56
119,1960-06-22,57.279999,57.279999,57.279999,57.279999,17.82,17.56
120,1960-06-23,57.59,57.59,57.59,57.59,17.82,17.56
121,1960-06-24,57.68,57.68,57.68,57.68,17.82,17.56
122,1960-06-27,57.330002,57.330002,57.330002,57.330002,17.82,17.56
123,1960-06-28,56.939999,56.939999,56.939999,56.939999,17.82,17.56
124,1960-06-29,56.939999,56.939999,56.939999,56.939999,17.82,17.56
125,1960-06-30,56.919998,56.919998,56.919998,56.919998,17.82,17.56
126,1960-07-01,57.060001,57.060001,57.060001,57.060001,17.38,17.11
127,1960-07-05,57.02,57.02,57.02,57.02,17.38,17.11
128,1960-07-06,56.939999,56.939999,56.939999,56.939999,17.38,17.11
129,1960-07-07,57.240002,57.240002,57.240002,57.240002,17.38,17.11
130,1960-07-08,57.380001,57.380001,57.380001,57.380001,17.38,17.11
131,1960-07-11,56.869999,56.869999,56.869999,56.869999,17.38,17.11
132,1960-07-12,56.25,56.25,56.25,56.25,17.38,17.11
133,1960-07-13,56.099998,56.099998,56.099998,56.099998,17.38,17.11
134,1960-07-14,56.119999,56.119999,56.119999,56.119999,17.38,17.11
135,1960-07-15,56.049999,56.049999,56.049999,56.049999,17.38,17.11
136,1960-07-18,55.700001,55.700001,55.700001,55.700001,17.38,17.11
